Haul ID,Line,Time,Depth,Skate,Species,Depredation
29abaadc-db28-4e54-80ea-784f9f93e09a,1,9:51:12 AM,575,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,2,9:55:52 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,3,9:55:52 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,4,9:55:55 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,5,9:55:57 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,6,9:55:59 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,7,9:56:03 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,8,9:56:04 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,9,9:56:06 AM,0,1,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,10,9:56:17 AM,0,1,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,11,9:56:19 AM,0,1,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,12,9:56:21 AM,0,1,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,13,9:56:23 AM,0,1,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,14,9:56:26 AM,0,1,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,15,9:56:28 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,16,9:56:46 AM,0,1,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,17,9:56:49 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,18,9:56:50 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,19,9:56:50 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,20,9:56:51 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,21,9:56:52 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,22,9:57:05 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,23,9:58:58 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,24,9:58:59 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,25,9:58:59 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,26,9:59:23 AM,0,1,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,27,9:59:24 AM,0,1,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,28,9:59:24 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,29,9:59:44 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,30,9:59:48 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,31,9:59:52 AM,0,2,9,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,32,9:59:56 AM,0,2,9,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,33,10:00:00 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,34,10:00:03 AM,0,2,9,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,35,10:00:05 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,36,10:00:08 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,37,10:00:10 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,38,10:00:16 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,39,10:00:17 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,40,10:00:20 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,41,10:00:21 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,42,10:00:28 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,43,10:00:38 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,44,10:00:40 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,45,10:00:42 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,46,10:00:45 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,47,10:00:47 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,48,10:00:50 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,49,10:00:51 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,50,10:00:53 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,51,10:00:59 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,52,10:01:05 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,53,10:01:07 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,54,10:01:10 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,55,10:01:11 AM,0,2,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,56,10:01:14 AM,0,2,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,57,10:01:17 AM,0,2,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,58,10:01:18 AM,0,2,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,59,10:01:20 AM,0,2,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,60,10:01:22 AM,0,3,9,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,61,10:01:33 AM,0,3,9,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,62,10:01:38 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,63,10:01:41 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,64,10:01:43 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,65,10:01:45 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,66,10:01:48 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,67,10:01:50 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,68,10:01:55 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,69,10:01:58 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,70,10:02:00 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,71,10:02:02 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,72,10:02:07 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,73,10:02:19 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,74,10:02:22 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,75,10:02:24 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,76,10:02:26 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,77,10:02:29 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,78,10:02:31 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,79,10:02:34 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,80,10:02:36 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,81,10:02:43 AM,0,3,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,82,10:02:47 AM,0,3,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,83,10:02:48 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,84,10:02:53 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,85,10:02:57 AM,0,3,9,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,86,10:03:01 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,87,10:03:05 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,88,10:03:07 AM,0,3,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,89,10:03:09 AM,0,3,5,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,90,10:03:13 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,91,10:03:14 AM,0,3,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,92,10:03:17 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,93,10:03:30 AM,0,4,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,94,10:03:33 AM,0,4,2,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,95,10:03:35 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,96,10:03:37 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,97,10:03:39 AM,0,4,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,98,10:03:42 AM,0,4,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,99,10:03:43 AM,0,4,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,100,10:03:46 AM,0,4,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,101,10:03:48 AM,0,4,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,102,10:03:55 AM,0,4,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,103,10:04:02 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,104,10:04:07 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,105,10:04:10 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,106,10:04:12 AM,0,4,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,107,10:04:14 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,108,10:04:19 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,109,10:04:22 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,110,10:04:24 AM,0,4,1,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,111,10:04:26 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,112,10:04:29 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,113,10:04:31 AM,0,4,3,0,
29abaadc-db28-4e54-80ea-784f9f93e09a,114,10:04:39 AM,0,4,3,0,
