Haul ID,Line,Stratum,Species,Length,Flag
dc42524b-107b-4a94-8e64-b40e2add3411,1,5,1,F065,0
dc42524b-107b-4a94-8e64-b40e2add3411,2,5,1,F068,0
dc42524b-107b-4a94-8e64-b40e2add3411,3,5,1,F067,0
dc42524b-107b-4a94-8e64-b40e2add3411,4,5,1,F062,0
dc42524b-107b-4a94-8e64-b40e2add3411,5,5,12,F039,0
dc42524b-107b-4a94-8e64-b40e2add3411,6,5,12,F040,0
dc42524b-107b-4a94-8e64-b40e2add3411,7,5,1,F079,0
dc42524b-107b-4a94-8e64-b40e2add3411,8,5,1,M063,0
dc42524b-107b-4a94-8e64-b40e2add3411,9,5,1,F084,0
dc42524b-107b-4a94-8e64-b40e2add3411,10,5,1,F068,0
dc42524b-107b-4a94-8e64-b40e2add3411,11,5,1,F066,0
dc42524b-107b-4a94-8e64-b40e2add3411,12,5,1,F063,0
dc42524b-107b-4a94-8e64-b40e2add3411,13,5,1,F062,0
dc42524b-107b-4a94-8e64-b40e2add3411,14,5,1,F067,0
dc42524b-107b-4a94-8e64-b40e2add3411,15,5,1,F065,0
dc42524b-107b-4a94-8e64-b40e2add3411,16,5,1,F055,0
dc42524b-107b-4a94-8e64-b40e2add3411,17,5,12,F036,0
dc42524b-107b-4a94-8e64-b40e2add3411,18,5,1,F063,0
dc42524b-107b-4a94-8e64-b40e2add3411,19,5,3,F022,0
dc42524b-107b-4a94-8e64-b40e2add3411,20,5,1,F066,0
dc42524b-107b-4a94-8e64-b40e2add3411,21,5,1,F058,0
dc42524b-107b-4a94-8e64-b40e2add3411,22,5,1,M062,0
dc42524b-107b-4a94-8e64-b40e2add3411,23,5,1,M053,0
dc42524b-107b-4a94-8e64-b40e2add3411,24,5,1,F070,0
dc42524b-107b-4a94-8e64-b40e2add3411,25,5,1,M057,0
dc42524b-107b-4a94-8e64-b40e2add3411,26,5,1,M063,0
dc42524b-107b-4a94-8e64-b40e2add3411,27,5,1,M063,0
dc42524b-107b-4a94-8e64-b40e2add3411,28,5,1,M056,0
dc42524b-107b-4a94-8e64-b40e2add3411,29,5,1,F063,0
dc42524b-107b-4a94-8e64-b40e2add3411,30,5,1,F078,0
dc42524b-107b-4a94-8e64-b40e2add3411,31,5,1,F080,0
dc42524b-107b-4a94-8e64-b40e2add3411,32,5,1,F080,0
dc42524b-107b-4a94-8e64-b40e2add3411,33,5,3,F024,0
dc42524b-107b-4a94-8e64-b40e2add3411,34,5,12,F041,0
dc42524b-107b-4a94-8e64-b40e2add3411,35,5,12,F032,0
dc42524b-107b-4a94-8e64-b40e2add3411,36,5,1,F071,0
dc42524b-107b-4a94-8e64-b40e2add3411,37,5,1,F071,0
dc42524b-107b-4a94-8e64-b40e2add3411,38,5,1,F067,0
dc42524b-107b-4a94-8e64-b40e2add3411,39,5,1,M055,0
dc42524b-107b-4a94-8e64-b40e2add3411,40,5,1,F073,0
dc42524b-107b-4a94-8e64-b40e2add3411,41,5,1,M055,0
dc42524b-107b-4a94-8e64-b40e2add3411,42,5,3,F030,0
dc42524b-107b-4a94-8e64-b40e2add3411,43,5,1,M057,0
