Haul ID,Line,Time,Depth,Skate,Species,Depredation
34b02e9c-e3e0-4580-90dd-455924285ba9,1,9:35:48 AM,597,1,1,0
34b02e9c-e3e0-4580-90dd-455924285ba9,2,9:47:21 AM,0,1,2,0
34b02e9c-e3e0-4580-90dd-455924285ba9,3,9:47:26 AM,0,1,2,0
34b02e9c-e3e0-4580-90dd-455924285ba9,4,9:47:36 AM,0,1,2,0
34b02e9c-e3e0-4580-90dd-455924285ba9,5,9:47:38 AM,0,1,2,0
34b02e9c-e3e0-4580-90dd-455924285ba9,6,9:47:40 AM,0,1,2,0
34b02e9c-e3e0-4580-90dd-455924285ba9,7,9:47:43 AM,0,1,2,0
34b02e9c-e3e0-4580-90dd-455924285ba9,8,9:47:44 AM,0,1,2,0
34b02e9c-e3e0-4580-90dd-455924285ba9,9,9:47:46 AM,0,1,1,0
34b02e9c-e3e0-4580-90dd-455924285ba9,10,9:47:48 AM,0,1,72,0
34b02e9c-e3e0-4580-90dd-455924285ba9,11,9:47:54 AM,0,1,3,0
34b02e9c-e3e0-4580-90dd-455924285ba9,12,9:47:55 AM,0,1,2,0
34b02e9c-e3e0-4580-90dd-455924285ba9,13,9:47:57 AM,0,1,3,0
34b02e9c-e3e0-4580-90dd-455924285ba9,14,9:47:59 AM,0,1,1,0
34b02e9c-e3e0-4580-90dd-455924285ba9,15,9:48:04 AM,0,1,1,0
34b02e9c-e3e0-4580-90dd-455924285ba9,16,9:48:09 AM,0,1,1,0
34b02e9c-e3e0-4580-90dd-455924285ba9,17,9:48:12 AM,0,1,9,0
34b02e9c-e3e0-4580-90dd-455924285ba9,18,9:48:15 AM,0,1,1,0
34b02e9c-e3e0-4580-90dd-455924285ba9,19,9:48:16 AM,0,1,2,0
34b02e9c-e3e0-4580-90dd-455924285ba9,20,9:48:20 AM,0,1,3,0
34b02e9c-e3e0-4580-90dd-455924285ba9,21,9:48:21 AM,0,1,72,0
34b02e9c-e3e0-4580-90dd-455924285ba9,22,9:48:30 AM,0,1,1,0
34b02e9c-e3e0-4580-90dd-455924285ba9,23,9:48:34 AM,0,1,1,0
34b02e9c-e3e0-4580-90dd-455924285ba9,24,9:48:36 AM,0,1,1,0
34b02e9c-e3e0-4580-90dd-455924285ba9,25,9:48:38 AM,0,1,1,0
34b02e9c-e3e0-4580-90dd-455924285ba9,26,9:48:40 AM,0,1,1,0
